pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
141,61.6,11.85,2.1218086063659225,0.1024,0.3180441828991698,0.12368903653634912,0.12148389468675426,315904.0,243328.0,2187.0,311.0,257.0,130.0,125.0,2.0
142,57.0,9.75,0.526304952399003,0.1024,0.1024,0.24947021805073416,0.1024,292768.0,200320.0,541.0,79.0,43.0,126.0,0.0,2.0
143,47.8,7.8,0.27541491564288445,0.1024,0.11931806635041005,0.1634650669350853,0.1024,245280.0,160512.0,282.0,0.0,57.0,57.0,0.0,2.0
144,49.0,11.8,0.5810402347823543,0.1024,0.11510155917025851,0.3387124861943804,0.1024,250944.0,242112.0,597.0,71.0,93.0,235.0,0.0,2.0
145,44.8,7.85,1.1103405652348632,0.1024,0.1024,0.24065434466442132,0.11407092326346777,229856.0,161312.0,1149.0,97.0,37.0,118.0,118.0,2.0
146,94.4,32.45,0.19047202834506569,0.17098428893650555,0.1341181198643804,0.34177276869550477,0.1024,483680.0,664960.0,196.0,129.0,126.0,250.0,94.0,2.0
147,39.8,2.5,0.22801121386003648,0.11719085064164587,0.22394620467296977,0.28550417053830485,0.19047202834506569,204224.0,51744.0,233.0,93.0,201.0,244.0,197.0,2.0
148,36.6,8.4,0.5554883519499598,0.1024,0.1024,0.2906865627912965,0.1024,188032.0,172672.0,572.0,60.0,17.0,150.0,0.0,2.0
149,41.0,5.05,0.16643223934073492,0.14806629407410293,0.1024,0.2384994910679599,0.1024,210624.0,103680.0,171.0,94.0,57.0,119.0,96.0,2.0
150,55.0,4.75,0.1024,0.1024,0.1024,0.19568158463697313,0.1024,282176.0,97792.0,21.0,0.0,5.0,56.0,26.0,2.0
151,53.2,18.75,1.1203725420310382,0.11103405652348632,0.31237405596334344,0.21603230857279196,0.16945327103418178,273056.0,384960.0,1152.0,224.0,276.0,222.0,175.0,2.0
152,50.4,6.8,0.9702026502711044,0.1024,0.24723642585667988,0.1024,0.1024,258272.0,139296.0,1000.0,144.0,174.0,42.0,93.0,2.0
153,51.0,5.15,0.22596956867426202,0.1024,0.14542655177583327,0.2517241926574282,0.19568158463697313,261376.0,106368.0,232.0,60.0,110.0,163.0,201.0,2.0
154,56.0,6.1,0.7210347678574682,0.1024,0.14412438152599996,0.12937860276781757,0.1024,287520.0,125568.0,745.0,55.0,75.0,37.0,45.0,2.0
155,41.4,3.35,0.7081800801168278,0.1024,0.10332518859176422,0.24723642585667988,0.1024,212192.0,69568.0,726.0,42.0,57.0,136.0,81.0,2.0
156,73.4,9.25,6.649667907340405,0.1024,0.4018370312688165,0.18707627191715065,0.1270720267009761,376256.0,189984.0,6855.0,885.0,350.0,243.0,131.0,2.0
157,60.2,8.9,8.947592702491825,0.1024,0.455761311985254,0.20653205040438585,0.1024,308352.0,183008.0,9219.0,1301.0,418.0,292.0,22.0,2.0
158,31.4,3.05,0.6414679415366508,0.13054754424534865,0.1024,0.2933129289209221,0.1024,161024.0,63200.0,663.0,136.0,27.0,154.0,0.0,2.0
159,68.8,9.65,2.729488108970102,0.1024,0.27541491564288445,0.18707627191715065,0.11407092326346777,353184.0,197920.0,2818.0,326.0,219.0,171.0,118.0,2.0
